#      Temp.        S_avg         TChi_avg       Cv_avg 
#- --------------------------------------------------------
  5.773503e-01     2.24517678     0.18949414     0.08181993 
  3.333333e-01     2.75989269     0.22451341     0.30057796 
  1.924501e-01     2.92013257     0.23336036     0.46981168 
  1.111111e-01     2.93881950     0.23419191     0.49713531 
  6.415003e-02     2.93980519     0.23429366     0.49680157 
  3.703704e-02     2.94007424     0.23432099     0.49672225 
  2.138334e-02     2.94017735     0.23433232     0.49666712 
  1.234568e-02     2.94020714     0.23433534     0.49665822 
  7.127781e-03     2.94021846     0.23433659     0.49665205 
